model,source_feature,target_feature,source_name,target_name,source_modality,target_modality,prior,gradient,occlusion,permutation
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000033185,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Hpx,metabolomics,proteomics,0.0,0.003508501003911743,0.0036047251914547896,0.003663746748163233
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000033477,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",F9,metabolomics,proteomics,0.0,0.008701813605382277,0.00889482305723882,0.009063810533760765
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000033626,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Serpina7,metabolomics,proteomics,0.0,0.009365278773663884,0.009528673689303572,0.009634953709285066
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000033820,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",F7,metabolomics,proteomics,0.0,0.0043925239816619355,0.004491768843475694,0.004521765171014269
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000033821,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",F10,metabolomics,proteomics,0.0,0.002306220847679404,0.002360865656280111,0.0023856760053706048
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000033822,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Proz,metabolomics,proteomics,0.0,0.0010909683024439806,0.001116471229440164,0.0011340719391222805
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000034064,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",F11,metabolomics,proteomics,0.0,0.005503400826247626,0.005591156604358698,0.005653169017710669
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000034339,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Cdh5,metabolomics,proteomics,0.0,0.0006443606500170758,0.0006581773604481622,0.0006638959433685074
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000034585,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Apoa4,metabolomics,proteomics,0.0,0.00011891714242611712,0.00011864485631489878,0.00012100079219656227
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000034588,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Apoa1,metabolomics,proteomics,0.0,0.002838370253265517,0.0029266337546189902,0.0029484812457200417
